time,corridor_id,train,chainage,arc
52.401867,0,241,4.601119,(26-21)
52.405367,0,250,39.892266,(4-3)
52.405367,0,250,39.892266,(4-3)
52.413561,0,250,39.564488,(4-3)
52.418534,0,243,4.991730,(25-20)
52.418534,1,246,19.723581,(35-28)
52.426506,1,249,10.414174,(175-133)
52.434423,1,249,10.827883,(173-132)
52.434957,1,249,10.854174,(173-132)
52.435201,0,243,5.041119,(24-19)
52.436118,0,241,4.178800,(26-21)
52.441339,0,250,38.731155,(3-1)
52.443996,1,249,11.267883,(173-132)
52.444910,0,237,31.319566,(15-2)
52.459527,0,244,15.708107,(20-17)
52.463339,0,250,38.291155,(3-1)
52.467153,0,250,38.214875,(1-2)
52.467721,0,244,15.380329,(20-17)
52.469138,0,250,38.175178,(1-2)
52.470709,0,243,5.481119,(24-19)
52.474603,0,247,22.408323,(17-15)
52.475266,1,249,12.245291,(172-131)
52.482798,0,247,22.080545,(17-15)
52.492494,1,249,12.589014,(172-131)
52.495499,0,244,14.546996,(21-18)
52.496916,0,250,37.897400,(1-2)
52.497766,1,249,12.684208,(172-131)
52.498058,0,234,63.320241,(9-9)
52.506614,0,253,54.069737,(13-7)
52.509516,1,246,18.233581,(34-27)
52.510002,1,246,18.217624,(33-23)
52.510576,0,247,21.247212,(18-16)
52.514433,1,242,12.295291,(171-132)
52.514433,1,242,12.295291,(171-132)
52.514433,1,242,12.295291,(171-132)
52.517499,0,244,14.111490,(21-18)
52.520272,1,249,12.866108,(172-131)
52.521557,0,244,14.031156,(22-19)
52.522059,0,244,14.021131,(22-19)
52.522082,1,246,18.378457,(33-23)
52.522509,1,246,18.384509,(33-23)
52.523088,0,246,0.000000,(28-22)
52.523088,1,246,18.392755,(28-22)
52.529645,0,243,7.213341,(24-19)
52.531099,1,242,12.245291,(173-133)
52.531099,1,242,12.245291,(173-133)
52.531099,1,242,12.245291,(173-133)
52.532576,0,247,20.807212,(18-16)
52.534189,0,246,0.440000,(28-22)
52.537059,0,247,20.717536,(18-16)
52.539176,1,245,18.103497,(31-26)
52.549242,0,240,21.198539,(19-15)
52.549836,0,244,13.743353,(22-19)
52.555843,1,245,18.153497,(32-27)
52.561147,0,253,49.707144,(13-7)
52.564356,1,245,18.217624,(34-28)
52.564356,1,245,18.217624,(34-28)
52.564837,0,247,20.439758,(18-16)
52.565909,0,240,21.247212,(17-14)
52.566059,1,245,18.233581,(35-29)
52.566059,1,245,18.233581,(35-29)
52.566608,1,242,11.805291,(173-133)
52.566608,1,242,11.805291,(173-133)
52.566608,1,242,11.805291,(173-133)
52.569913,0,246,2.157144,(28-22)
52.573395,1,245,18.314269,(35-29)
52.573395,1,245,18.314269,(35-29)
52.574993,1,245,18.334407,(35-29)
52.574993,1,245,18.334407,(35-29)
52.579078,0,237,36.686289,(15-2)
52.579078,0,237,36.686289,(15-2)
52.586529,0,246,2.963231,(28-22)
52.590048,0,246,3.108454,(27-21)
52.590062,1,249,12.866108,(172-131)
52.591351,1,245,18.593497,(35-29)
52.591351,1,245,18.593497,(35-29)
52.594660,1,245,18.657624,(35-29)
52.594660,1,245,18.657624,(35-29)
52.594723,0,246,3.295467,(27-21)
52.595453,1,245,18.673581,(35-29)
52.595453,1,245,18.673581,(35-29)
52.601417,0,240,21.687212,(17-14)
52.601456,0,246,3.548454,(27-21)
52.604723,1,242,10.827883,(175-135)
52.604723,1,242,10.827883,(175-135)
52.604723,1,242,10.827883,(175-135)
52.606728,1,249,12.915985,(170-130)
52.608106,0,237,37.847400,(2-3)
52.616661,1,242,10.414174,(176-136)
52.616661,1,242,10.414174,(176-136)
52.616661,1,242,10.414174,(176-136)
52.617373,1,242,10.387883,(176-136)
52.617373,1,242,10.387883,(176-136)
52.617373,1,242,10.387883,(176-136)
52.619106,0,237,38.285635,(2-3)
52.619632,0,253,46.259713,(7-6)
52.621282,0,253,46.198155,(6-5)
52.622501,0,246,4.128800,(25-20)
52.627989,1,242,9.974174,(176-136)
52.627989,1,242,9.974174,(176-136)
52.627989,1,242,9.974174,(176-136)
52.630289,0,237,38.731155,(4-4)
52.632922,0,253,45.819713,(6-5)
52.635160,0,253,45.758155,(6-5)
52.635773,0,250,37.897400,(1-2)
52.639437,1,245,19.912901,(35-29)
52.639437,1,245,19.912901,(35-29)
52.639437,1,245,19.912901,(35-29)
52.639437,1,245,19.912901,(35-29)
52.641289,0,237,39.171155,(4-4)
52.642237,1,249,13.355985,(170-130)
52.644501,0,246,4.563426,(25-20)
52.649589,0,256,62.958626,(13-7)
52.652272,0,253,45.406492,(5-4)
52.652292,0,246,4.717345,(25-20)
52.652439,0,250,37.847400,(15-13)
52.660353,0,240,23.419434,(17-14)
52.661167,0,241,4.178800,(26-21)
52.661863,0,250,37.774876,(15-13)
52.662617,0,243,12.532242,(24-19)
52.662617,0,243,12.532242,(24-19)
52.663096,1,245,20.867603,(157-119)
52.663096,1,245,20.867603,(157-119)
52.672258,0,253,45.262700,(5-4)
52.672595,1,245,21.307603,(157-119)
52.672595,1,245,21.307603,(157-119)
52.677834,0,241,4.128800,(27-22)
52.680070,0,246,4.991730,(25-20)
52.687947,0,250,37.407400,(15-13)
52.691645,0,243,13.693353,(23-17)
52.702645,0,243,14.133353,(23-17)
52.712986,0,243,14.546996,(20-16)
52.713342,0,241,3.688800,(27-22)
52.719312,0,244,13.743353,(22-19)
52.723986,0,243,14.986996,(20-16)
52.725576,1,249,16.171507,(170-130)
52.725576,1,249,16.171507,(170-130)
52.729737,1,249,16.377630,(170-130)
52.735979,0,244,13.693353,(24-20)
52.736655,1,242,3.406402,(176-136)
52.736655,1,242,3.406402,(176-136)
