seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
204,0,0,33,1,587,3.4940,0.155
205,0,0,33,1,577,3.4345,0.104
206,0,0,33,1,581,3.4583,0.108
207,0,0,33,1,557,3.3155,0.105
208,0,0,33,1,606,3.6071,0.130
209,0,0,33,1,590,3.5119,0.167
210,0,0,33,1,591,3.5179,0.124
211,0,0,33,1,610,3.6310,0.112
212,0,0,33,1,587,3.4940,0.107
213,0,0,33,1,606,3.6071,0.110
214,0,0,33,1,588,3.5000,0.106
215,0,0,33,1,558,3.3214,0.118
216,0,0,33,1,563,3.3512,0.127
217,0,0,33,1,617,3.6726,0.116
218,1,3,36,4,605,3.6012,0.171
219,0,0,36,1,560,3.3333,0.118
220,0,0,36,1,592,3.5238,0.121
221,0,0,36,1,592,3.5238,0.123
222,0,0,36,1,608,3.6190,0.110
223,0,0,36,1,558,3.3214,0.105
224,0,0,36,1,587,3.4940,0.114
225,0,0,36,1,534,3.1786,0.105
226,0,0,36,1,584,3.4762,0.113
227,0,0,36,1,598,3.5595,0.114
228,0,0,36,1,608,3.6190,0.115
229,0,0,36,1,532,3.1667,0.102
230,0,0,36,1,608,3.6190,0.127
231,0,0,36,1,542,3.2262,0.138
232,0,0,36,1,541,3.2202,0.110
233,0,0,36,1,555,3.3036,0.106
234,0,0,36,1,612,3.6429,0.134
235,0,0,36,1,591,3.5179,0.106
236,0,0,36,1,600,3.5714,0.116
237,0,0,36,1,591,3.5179,0.114
238,0,0,36,1,612,3.6429,0.122
239,0,0,36,1,569,3.3869,0.105
240,0,0,36,1,635,3.7798,0.139
241,0,0,36,1,570,3.3929,0.108
242,0,0,36,1,598,3.5595,0.112
243,0,0,36,1,565,3.3631,0.107
244,0,0,36,1,583,3.4702,0.113
245,0,0,36,1,587,3.4940,0.123
246,0,0,36,1,573,3.4107,0.112
247,0,0,36,1,593,3.5298,0.121
248,1,5,41,6,626,3.7262,0.241
249,0,0,41,1,614,3.6548,0.160
250,0,0,41,1,633,3.7679,0.162
251,0,0,41,1,626,3.7262,0.134
252,0,0,41,1,539,3.2083,0.109
253,0,0,41,1,572,3.4048,0.116
254,0,0,41,1,655,3.8988,0.148
255,0,0,41,1,592,3.5238,0.116
256,0,0,41,1,579,3.4464,0.131
257,0,0,41,1,628,3.7381,0.120
258,0,0,41,1,647,3.8512,0.123
259,0,0,41,1,597,3.5536,0.152
260,0,0,41,1,609,3.6250,0.117
261,0,0,41,1,580,3.4524,0.111
262,0,0,41,1,573,3.4107,0.127
263,0,0,41,1,599,3.5655,0.168
264,0,0,41,1,559,3.3274,0.114
265,0,0,41,1,620,3.6905,0.157
266,0,0,41,1,578,3.4405,0.152
267,0,0,41,1,578,3.4405,0.116
268,0,0,41,1,559,3.3274,0.139
269,0,0,41,1,596,3.5476,0.114
270,0,0,41,1,603,3.5893,0.112
271,0,0,41,1,576,3.4286,0.112
272,0,0,41,1,625,3.7202,0.125
273,0,0,41,1,629,3.7440,0.120
274,0,0,41,1,633,3.7679,0.122
275,0,0,41,1,573,3.4107,0.140
276,0,0,41,1,568,3.3810,0.133
277,1,1,42,2,603,3.5893,0.205
278,0,0,42,1,600,3.5714,0.120
279,0,0,42,1,604,3.5952,0.114
280,0,0,42,1,590,3.5119,0.129
281,0,0,42,1,582,3.4643,0.110
282,0,0,42,1,622,3.7024,0.116
283,0,0,42,1,611,3.6369,0.132
284,0,0,42,1,552,3.2857,0.125
285,0,0,42,1,587,3.4940,0.109
286,0,0,42,1,592,3.5238,0.122
287,0,0,42,1,626,3.7262,0.115
288,0,0,42,1,588,3.5000,0.128
289,0,0,42,1,600,3.5714,0.129
290,0,0,42,1,622,3.7024,0.120
291,0,0,42,1,615,3.6607,0.129
292,0,0,42,1,622,3.7024,0.122
293,0,0,42,1,578,3.4405,0.133
294,0,0,42,1,525,3.1250,0.102
295,0,0,42,1,604,3.5952,0.115
296,0,0,42,1,597,3.5536,0.130
297,0,0,42,1,598,3.5595,0.106
298,0,0,42,1,608,3.6190,0.113
299,0,0,42,1,588,3.5000,0.116
300,0,0,42,1,579,3.4464,0.111
301,0,0,42,1,613,3.6488,0.112
302,0,0,42,1,615,3.6607,0.112
303,0,0,42,1,573,3.4107,0.107
304,0,0,42,1,604,3.5952,0.172
305,0,0,42,1,576,3.4286,0.101
306,0,0,42,1,579,3.4464,0.112
307,0,0,42,1,638,3.7976,0.119
308,0,0,42,1,587,3.4940,0.113
309,0,0,42,1,595,3.5417,0.112
310,0,0,42,1,578,3.4405,0.105
311,0,0,42,1,550,3.2738,0.103
312,0,0,42,1,633,3.7679,0.116
313,0,0,42,1,579,3.4464,0.113
314,0,0,42,1,583,3.4702,0.127
315,0,0,42,1,582,3.4643,0.106
316,0,0,42,1,547,3.2560,0.126
317,0,0,42,1,586,3.4881,0.138
318,0,0,42,1,598,3.5595,0.129
319,0,0,42,1,592,3.5238,0.112
320,0,0,42,1,580,3.4524,0.110
321,0,0,42,1,666,3.9643,0.124
322,0,0,42,1,623,3.7083,0.143
323,0,0,42,1,597,3.5536,0.107
324,0,0,42,1,600,3.5714,0.122
325,0,0,42,1,569,3.3869,0.121
326,0,0,42,1,562,3.3452,0.104
327,0,0,42,1,605,3.6012,0.119
328,0,0,42,1,577,3.4345,0.117
329,0,0,42,1,586,3.4881,0.128
330,0,0,42,1,589,3.5060,0.114
331,0,0,42,1,565,3.3631,0.109
332,0,0,42,1,612,3.6429,0.119
333,0,0,42,1,576,3.4286,0.109
334,0,0,42,1,561,3.3393,0.128
335,0,0,42,1,576,3.4286,0.119
336,0,0,42,1,617,3.6726,0.134
337,0,0,42,1,565,3.3631,0.114
338,0,0,42,1,568,3.3810,0.123
339,0,0,42,1,625,3.7202,0.122
340,0,0,42,1,580,3.4524,0.114
341,0,0,42,1,581,3.4583,0.133
342,0,0,42,1,615,3.6607,0.119
343,0,0,42,1,583,3.4702,0.109
344,0,0,42,1,572,3.4048,0.134
345,0,0,42,1,561,3.3393,0.105
346,0,0,42,1,557,3.3155,0.145
347,0,0,42,1,582,3.4643,0.128
348,1,1,43,2,569,3.3869,0.250
349,0,0,43,1,573,3.4107,0.119
350,0,0,43,1,575,3.4226,0.107
351,0,0,43,1,551,3.2798,0.110
352,0,0,43,1,577,3.4345,0.108
353,0,0,43,1,629,3.7440,0.125
354,0,0,43,1,574,3.4167,0.143
355,0,0,43,1,598,3.5595,0.118
356,0,0,43,1,562,3.3452,0.105
357,0,0,43,1,586,3.4881,0.117
358,0,0,43,1,580,3.4524,0.112
359,0,0,43,1,594,3.5357,0.134
360,0,0,43,1,597,3.5536,0.110
361,0,0,43,1,591,3.5179,0.113
362,1,1,44,2,583,3.4702,0.114
363,0,0,44,1,578,3.4405,0.105
364,0,0,44,1,577,3.4345,0.123
365,0,0,44,1,575,3.4226,0.118
366,0,0,44,1,605,3.6012,0.142
367,1,1,45,2,581,3.4583,0.122
368,0,0,45,1,535,3.1845,0.141
369,0,0,45,1,564,3.3571,0.120
370,1,1,46,2,603,3.5893,0.237
371,0,0,46,1,536,3.1905,0.100
372,0,0,46,1,624,3.7143,0.146
373,0,0,46,1,582,3.4643,0.105
374,0,0,46,1,561,3.3393,0.121
375,0,0,46,1,559,3.3274,0.108
376,0,0,46,1,572,3.4048,0.112
377,0,0,46,1,606,3.6071,0.113
378,0,0,46,1,578,3.4405,0.115
379,0,0,46,1,619,3.6845,0.113
380,0,0,46,1,576,3.4286,0.106
381,0,0,46,1,531,3.1607,0.103
382,0,0,46,1,531,3.1607,0.100
383,0,0,46,1,567,3.3750,0.102
384,0,0,46,1,573,3.4107,0.194
385,0,0,46,1,579,3.4464,0.106
386,0,0,46,1,629,3.7440,0.158
387,0,0,46,1,632,3.7619,0.126
388,0,0,46,1,551,3.2798,0.104
389,0,0,46,1,550,3.2738,0.126
390,0,0,46,1,582,3.4643,0.113
391,0,0,46,1,620,3.6905,0.126
392,0,0,46,1,634,3.7738,0.124
393,0,0,46,1,583,3.4702,0.120
394,0,0,46,1,576,3.4286,0.109
395,0,0,46,1,574,3.4167,0.128
396,0,0,46,1,579,3.4464,0.109
397,0,0,46,1,643,3.8274,0.124
398,0,0,46,1,580,3.4524,0.109
399,0,0,46,1,570,3.3929,0.106
400,0,0,46,1,623,3.7083,0.127
401,0,0,46,1,521,3.1012,0.095
402,0,0,46,1,578,3.4405,0.125
403,0,0,46,1,578,3.4405,0.108
404,0,0,46,1,604,3.5952,0.132
405,0,0,46,1,579,3.4464,0.132
406,0,0,46,1,586,3.4881,0.159
407,0,0,46,1,608,3.6190,0.114
408,0,0,46,1,609,3.6250,0.145
409,0,0,46,1,574,3.4167,0.123
410,0,0,46,1,573,3.4107,0.106
411,0,0,46,1,599,3.5655,0.116
412,0,0,46,1,614,3.6548,0.125
413,0,0,46,1,608,3.6190,0.111
414,0,0,46,1,588,3.5000,0.119
415,0,0,46,1,622,3.7024,0.117
416,0,0,46,1,622,3.7024,0.123
417,0,0,46,1,564,3.3571,0.109
418,0,0,46,1,588,3.5000,0.117
419,0,0,46,1,610,3.6310,0.130
420,0,0,46,1,589,3.5060,0.150
421,1,1,47,2,612,3.6429,0.194
422,0,0,47,1,596,3.5476,0.140
423,0,0,47,1,564,3.3571,0.105
424,0,0,47,1,590,3.5119,0.126
425,0,0,47,1,546,3.2500,0.104
426,0,0,47,1,616,3.6667,0.118
427,0,0,47,1,601,3.5774,0.151
428,0,0,47,1,551,3.2798,0.146
429,0,0,47,1,593,3.5298,0.114
430,0,0,47,1,564,3.3571,0.130
431,0,0,47,1,600,3.5714,0.115
432,0,0,47,1,607,3.6131,0.118
433,0,0,47,1,570,3.3929,0.138
434,0,0,47,1,571,3.3988,0.103
435,0,0,47,1,619,3.6845,0.148
436,0,0,47,1,586,3.4881,0.117
437,0,0,47,1,561,3.3393,0.122
438,0,0,47,1,580,3.4524,0.104
439,0,0,47,1,598,3.5595,0.109
440,0,0,47,1,605,3.6012,0.137
441,0,0,47,1,623,3.7083,0.130
442,0,0,47,1,639,3.8036,0.120
443,0,0,47,1,546,3.2500,0.105
444,0,0,47,1,619,3.6845,0.126
445,0,0,47,1,559,3.3274,0.131
446,0,0,47,1,641,3.8155,0.129
447,1,1,48,2,574,3.4167,0.132
448,0,0,48,1,575,3.4226,0.126
449,0,0,48,1,607,3.6131,0.118
450,0,0,48,1,598,3.5595,0.146
451,0,0,48,1,563,3.3512,0.127
452,0,0,48,1,588,3.5000,0.125
453,0,0,48,1,594,3.5357,0.151
454,0,0,48,1,569,3.3869,0.103
455,0,0,48,1,571,3.3988,0.132
456,0,0,48,1,593,3.5298,0.125
457,0,0,48,1,569,3.3869,0.106
458,0,0,48,1,655,3.8988,0.145
459,0,0,48,1,581,3.4583,0.110
460,0,0,48,1,591,3.5179,0.133
461,0,0,48,1,615,3.6607,0.125
462,0,0,48,1,636,3.7857,0.138
463,0,0,48,1,600,3.5714,0.116
464,0,0,48,1,604,3.5952,0.121
465,0,0,48,1,599,3.5655,0.146
466,0,0,48,1,601,3.5774,0.123
467,0,0,48,1,554,3.2976,0.105
468,0,0,48,1,586,3.4881,0.114
469,0,0,48,1,577,3.4345,0.113
470,0,0,48,1,561,3.3393,0.192
471,0,0,48,1,595,3.5417,0.124
472,0,0,48,1,561,3.3393,0.147
473,0,0,48,1,541,3.2202,0.142
474,0,0,48,1,583,3.4702,0.149
475,1,1,49,2,600,3.5714,0.247
476,0,0,49,1,589,3.5060,0.127
477,0,0,49,1,610,3.6310,0.114
478,0,0,49,1,587,3.4940,0.111
479,0,0,49,1,585,3.4821,0.115
480,0,0,49,1,572,3.4048,0.113
481,0,0,49,1,587,3.4940,0.119
482,0,0,49,1,647,3.8512,0.133
483,0,0,49,1,625,3.7202,0.125
484,0,0,49,1,582,3.4643,0.123
485,0,0,49,1,626,3.7262,0.120
486,0,0,49,1,575,3.4226,0.124
487,0,0,49,1,548,3.2619,0.109
488,0,0,49,1,607,3.6131,0.119
489,0,0,49,1,554,3.2976,0.110
490,0,0,49,1,598,3.5595,0.114
491,0,0,49,1,553,3.2917,0.114
492,0,0,49,1,594,3.5357,0.128
493,0,0,49,1,633,3.7679,0.134
494,0,0,49,1,576,3.4286,0.121
495,0,0,49,1,586,3.4881,0.114
496,0,0,49,1,606,3.6071,0.115
497,0,0,49,1,530,3.1548,0.104
498,0,0,49,1,618,3.6786,0.129
499,0,0,49,1,602,3.5833,0.126
500,0,0,49,1,619,3.6845,0.133
501,0,0,49,1,583,3.4702,0.118
502,0,0,49,1,600,3.5714,0.119
503,0,0,49,1,609,3.6250,0.120
504,0,0,49,1,624,3.7143,0.124
505,0,0,49,1,620,3.6905,0.129
506,0,0,49,1,551,3.2798,0.109
