rep,run_t,avg_speed,train_ctr
90,0.015574,20.465975,80
91,0.014997,19.383140,72
92,0.014691,25.100820,89
93,0.015566,18.965719,76
94,0.015612,25.597328,92
95,0.015501,18.858106,77
96,0.015916,29.057518,100
97,0.015799,22.607422,94
98,0.014565,24.706393,92
99,0.016017,27.087351,102
100,0.014935,25.809906,94
101,0.015663,22.029112,85
102,0.014477,31.693819,92
103,0.014414,27.752571,94
104,0.015718,23.050151,89
105,0.014919,16.322814,70
106,0.015321,27.395612,92
107,0.014598,25.332313,91
108,0.014655,21.811634,90
109,0.012947,25.624382,71
110,0.015349,26.725984,93
111,0.015137,28.535727,99
112,0.015608,29.514329,101
113,0.015261,25.694737,82
114,0.013791,24.125175,82
115,0.013952,32.565495,98
116,0.016567,22.468882,97
117,0.014162,23.524707,82
118,0.015054,20.545532,83
119,0.014622,27.344803,94
120,0.014540,21.986336,76
121,0.015317,24.480548,93
122,0.015046,26.010519,99
123,0.014345,24.954247,91
124,0.015083,31.673348,102
125,0.015198,25.467410,102
126,0.015374,20.380901,80
127,0.014894,31.225935,98
128,0.015904,24.548665,94
129,0.015328,22.378387,81
130,0.013758,26.565238,81
131,0.015102,27.636362,98
132,0.014863,30.130169,99
133,0.015705,23.605441,98
134,0.015243,25.813785,94
135,0.015231,24.711563,88
136,0.015415,27.549147,94
137,0.015490,27.511768,100
138,0.016062,26.722152,98
139,0.013981,34.405323,98
140,0.015865,23.862255,95
141,0.012250,32.114329,70
142,0.015369,30.555232,97
143,0.015892,27.574052,97
144,0.014970,20.067186,79
145,0.015163,27.680121,95
146,0.015646,20.514148,89
147,0.014837,29.106063,87
148,0.014301,17.187768,68
149,0.014231,29.666881,99
150,0.015580,26.827962,93
151,0.015526,25.938710,90
152,0.015061,23.295327,82
153,0.014925,28.605796,97
154,0.015725,24.076534,100
155,0.016236,28.917784,91
156,0.014042,20.849426,79
157,0.015091,28.707267,101
158,0.099008,25.582703,82
159,0.014425,29.632232,83
160,0.015368,20.963975,89
161,0.014685,32.467689,99
162,0.015870,22.889650,94
163,0.014543,27.962265,102
164,0.013934,20.712539,69
165,0.015677,23.313172,92
166,0.015489,28.820238,103
167,0.015232,30.095466,99
168,0.014518,31.628154,100
169,0.014810,28.883727,97
170,0.014794,22.460063,82
171,0.014644,31.413991,95
172,0.012644,36.826889,89
173,0.015523,22.693552,83
174,0.015039,25.960943,93
175,0.014765,26.079161,97
176,0.015307,25.078745,92
177,0.014674,28.997777,91
178,0.015672,28.091678,100
179,0.013944,26.022491,86
180,0.015237,22.200444,81
181,0.014866,21.636258,86
182,0.015068,28.087461,91
183,0.015470,22.822998,90
184,0.015727,25.102997,100
185,0.015485,31.655614,103
186,0.014905,20.888831,82
187,0.015565,27.102791,96
188,0.016034,29.658780,99
189,0.015705,23.751150,86
190,0.015857,28.705695,101
191,0.014468,29.556540,94
192,0.014763,18.401043,71
193,0.015392,21.415351,93
194,0.015534,28.942619,98
195,0.014744,24.923810,88
196,0.015223,26.680915,95
197,0.015014,18.791212,84
198,0.015808,28.411470,102
199,0.016151,22.276986,96
200,0.014807,21.129524,87
201,0.015116,27.026626,90
202,0.015033,24.923983,87
203,0.014412,29.863788,93
204,0.022227,19.306872,88
205,0.014354,16.767309,76
206,0.015401,22.772025,88
207,0.015359,27.136852,100
208,0.015152,22.504391,90
209,0.014274,24.570388,90
210,0.014769,31.465294,98
211,0.015612,31.273065,97
212,0.015421,31.657997,98
213,0.015174,23.802705,90
214,0.014749,18.394056,80
215,0.015644,20.229221,87
216,0.015823,23.938723,94
217,0.015331,25.227983,90
218,0.014486,20.446564,80
219,0.014755,25.193841,91
220,0.015874,22.032085,92
221,0.015219,24.998361,86
222,0.015198,30.019503,97
223,0.015359,17.872710,79
224,0.015375,25.239033,89
225,0.015451,26.115238,96
226,0.014437,26.353077,96
227,0.015666,32.272256,98
228,0.015919,26.574480,101
229,0.015074,19.827232,73
230,0.015436,23.868340,96
231,0.015329,30.354948,101
232,0.015076,22.874464,91
233,0.013529,29.686233,90
234,0.014728,20.176028,82
235,0.014420,26.673798,90
236,0.014602,29.696072,102
237,0.013987,17.763919,75
238,0.013574,33.046606,87
239,0.015139,31.463397,103
240,0.014729,22.290169,84
241,0.014531,28.490801,94
242,0.012774,27.738051,70
243,0.019733,26.887988,92
244,0.014978,19.662002,78
245,0.014403,27.151178,93
246,0.014460,18.563769,74
247,0.015343,26.554564,90
248,0.012765,34.114834,82
249,0.014370,23.020319,81
250,0.014542,32.296740,99
251,0.014961,22.992846,88
252,0.015178,28.441983,95
253,0.015549,30.649465,104
254,0.015264,24.104860,86
255,0.014666,24.614284,93
256,0.015403,25.178626,95
257,0.014834,29.023903,93
258,0.015133,25.358519,83
259,0.014164,29.026701,99
260,0.015211,28.836970,90
261,0.015052,18.615546,82
262,0.014267,27.902480,94
263,0.014880,29.335129,98
264,0.014109,27.217820,88
265,0.013290,33.734134,86
266,0.014957,28.898684,95
