id,segment,head,reachable
65,173,133,Wyreema_exit
65,175,135,Wyreema_exit
65,176,136,Wyreema_exit
66,170,130,TmbaStn_north
66,169,128,TmbaStn_north
66,167,126,TmbaStn_north
67,170,130,Willowburn_north,exit_to_Brisbane,Gowrie_exit
67,187,146,Willowburn_north,exit_to_Brisbane,Gowrie_exit
67,188,147,Willowburn_north,exit_to_Brisbane,Gowrie_exit
68,171,131,TmbaStn_north,Willowburn_north,exit_to_Brisbane,Gowrie_exit
69,172,131,TmbaStn_north,Willowburn_north,exit_to_Brisbane,Gowrie_exit
70,220,173,Wyreema_exit
71,189,25,exit_to_Brisbane
71,30,24,exit_to_Brisbane
72,189,25,Willowburn_north,Gowrie_exit
72,31,26,Willowburn_north,Gowrie_exit
73,187,130,Wyreema_exit
73,170,131,Wyreema_exit
74,176,135,TmbaStn_north,Willowburn_north,exit_to_Brisbane,Gowrie_exit
74,175,133,TmbaStn_north,Willowburn_north,exit_to_Brisbane,Gowrie_exit
74,173,132,TmbaStn_north,Willowburn_north,exit_to_Brisbane,Gowrie_exit
75,160,120,TmbaStn_south,Willowburn_south,exit_to_Brisbane,Wyreema_exit
76,219,136,TmbaStn_north,Willowburn_north,exit_to_Brisbane,Gowrie_exit
77,221,121,TmbaStn_south,Willowburn_south,exit_to_Brisbane,Wyreema_exit
78,2,2,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
78,15,13,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
79,218,171,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
79,216,14,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
79,17,15,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
80,2,3,exit_to_Brisbane
80,4,4,exit_to_Brisbane
81,19,16,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
81,20,17,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
82,216,171,exit_to_Brisbane
82,218,13,exit_to_Brisbane
82,15,2,exit_to_Brisbane
83,23,19,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
83,24,20,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
84,19,15,exit_to_Brisbane
84,17,14,exit_to_Brisbane
85,26,21,Wyreema_exit
85,27,22,Wyreema_exit
85,28,23,Wyreema_exit
85,29,24,Wyreema_exit
85,30,25,Wyreema_exit
85,189,147,Wyreema_exit
85,188,146,Wyreema_exit
86,26,21,TmbaStn_south
86,27,22,TmbaStn_south
86,28,23,TmbaStn_south
86,29,24,TmbaStn_south
86,30,25,TmbaStn_south
86,189,147,TmbaStn_south
86,190,125,TmbaStn_south
86,165,126,TmbaStn_south
86,167,128,TmbaStn_south
87,26,21,Wyreema_exit
87,27,22,Wyreema_exit
87,28,23,Wyreema_exit
87,29,24,Wyreema_exit
87,206,148,Wyreema_exit
87,191,146,Wyreema_exit
88,26,21,Gowrie_exit
88,27,22,Gowrie_exit
88,28,23,Gowrie_exit
88,33,27,Gowrie_exit
88,34,28,Gowrie_exit
88,35,29,Gowrie_exit
89,26,21,Willowburn_north
89,27,22,Willowburn_north
89,28,23,Willowburn_north
89,33,27,Willowburn_north
89,34,28,Willowburn_north
89,143,111,Willowburn_north
89,144,109,Willowburn_north
90,23,17,exit_to_Brisbane
90,20,16,exit_to_Brisbane
91,26,20,exit_to_Brisbane
91,24,19,exit_to_Brisbane
92,159,120,Gowrie_exit
92,160,121,Gowrie_exit
93,160,121,Gowrie_exit
93,222,174,Gowrie_exit
94,159,119,TmbaStn_south,exit_to_Brisbane,Wyreema_exit
94,157,29,TmbaStn_south,exit_to_Brisbane,Wyreema_exit
94,35,28,TmbaStn_south,exit_to_Brisbane,Wyreema_exit
95,159,119,Willowburn_south
95,157,29,Willowburn_south
95,36,30,Willowburn_south
95,37,31,Willowburn_south
95,38,32,Willowburn_south
95,39,33,Willowburn_south
95,40,34,Willowburn_south
96,171,132,Wyreema_exit
96,173,133,Wyreema_exit
96,175,135,Wyreema_exit
96,176,136,Wyreema_exit
97,173,133,Wyreema_exit
97,175,135,Wyreema_exit
97,176,136,Wyreema_exit
