rep,run_t,avg_speed,train_ctr
396,0.013751,19.123743,67
397,0.014151,15.726287,67
398,0.013773,16.279557,67
399,0.013635,17.340861,67
400,0.013041,16.332838,67
401,0.013802,15.612214,69
402,0.013544,16.238374,66
403,0.014277,15.924472,70
404,0.013482,15.882633,67
405,0.013694,16.081609,66
406,0.014237,20.854560,72
407,0.013682,16.674083,66
408,0.013347,15.968377,67
409,0.014097,15.710214,67
410,0.016123,20.417051,90
411,0.013461,15.430612,67
412,0.014227,17.118651,67
413,0.014221,15.406834,72
414,0.013929,15.934075,66
415,0.014848,18.449349,75
416,0.015639,17.632631,78
417,0.014255,15.385273,67
418,0.014796,15.690220,73
419,0.014393,22.488822,72
420,0.014372,20.438265,73
421,0.015376,16.859348,81
422,0.014647,20.733555,75
423,0.013675,16.640993,66
424,0.014562,18.585973,73
425,0.013306,16.070271,67
426,0.014997,18.697977,80
427,0.014016,16.052715,70
428,0.013557,15.793029,67
429,0.013850,15.863923,66
430,0.015206,21.196479,88
431,0.015851,17.022009,83
432,0.014058,15.823323,67
433,0.013751,15.696223,66
434,0.014126,17.776625,66
435,0.013972,19.679520,66
436,0.014842,21.667426,77
437,0.014257,16.355857,69
438,0.013073,15.396573,67
439,0.015050,19.178703,81
440,0.013948,16.069712,66
441,0.013356,15.559575,67
442,0.014967,19.428115,73
443,0.012983,16.230767,67
444,0.014257,20.090510,70
445,0.015118,18.444108,76
446,0.013851,17.859193,66
447,0.013753,15.633593,66
448,0.014313,16.601205,70
449,0.014100,16.633508,66
450,0.013897,19.188350,66
451,0.013872,15.666126,67
452,0.013978,16.922178,70
453,0.013695,16.315075,67
454,0.013251,15.695405,67
455,0.013488,17.425285,66
456,0.015102,25.803155,87
457,0.015347,19.622488,90
458,0.013251,16.007914,67
459,0.013288,15.491255,67
460,0.014013,17.086413,67
461,0.013621,19.645856,67
462,0.014940,19.408711,72
463,0.013899,16.196668,66
464,0.015213,17.701239,73
465,0.013415,15.469451,67
466,0.015332,20.658095,90
467,0.014163,18.117643,66
468,0.014273,17.291864,73
469,0.013152,16.202053,67
470,0.013687,15.636087,66
471,0.013264,16.771550,66
472,0.013630,15.611366,67
473,0.014378,16.292115,74
474,0.013792,17.778477,67
475,0.014498,17.081115,73
476,0.013678,15.441020,66
477,0.014518,15.978883,70
478,0.014640,20.363892,71
479,0.014148,16.289774,67
480,0.014436,15.915867,68
481,0.014421,18.529785,73
482,0.014022,16.402651,67
483,0.013544,15.636654,67
484,0.014081,17.083424,66
485,0.013315,16.014828,66
486,0.014721,17.008911,70
487,0.014223,18.245016,72
488,0.013472,15.477010,67
489,0.013294,18.966982,67
490,0.013812,17.186391,67
491,0.014110,16.323050,72
492,0.014654,18.250506,73
493,0.014665,21.387942,80
494,0.013755,15.719022,66
495,0.014099,17.977078,67
496,0.013844,15.485892,66
497,0.013725,15.454439,66
498,0.013791,16.819451,69
499,0.014811,17.762524,73
500,0.014092,17.284825,69
501,0.013201,15.441063,66
502,0.014751,17.268778,73
503,0.013750,18.066024,66
504,0.013312,15.463011,66
505,0.013688,17.073850,66
506,0.013387,15.405684,66
507,0.014032,18.189175,70
508,0.014058,18.189619,71
509,0.013877,20.928860,71
510,0.014080,17.297062,66
511,0.015010,22.276046,78
512,0.015189,17.914126,82
513,0.014771,16.894519,70
514,0.014439,15.820610,75
515,0.013464,16.071476,66
516,0.013978,16.016717,66
517,0.014206,18.468603,68
518,0.013389,17.462643,67
519,0.013890,17.481311,71
520,0.014506,19.209885,76
521,0.014580,16.202229,70
522,0.014679,16.666854,74
523,0.013851,17.012456,66
524,0.015273,18.033753,73
525,0.013010,15.518923,67
526,0.013664,17.512732,67
527,0.013884,17.280181,66
528,0.013797,16.897526,66
529,0.014142,18.454442,67
530,0.013637,15.993032,67
531,0.013951,15.499545,67
532,0.014315,17.007704,69
533,0.013666,16.333616,67
534,0.014380,16.302611,69
535,0.014209,16.457490,67
536,0.015554,21.038101,81
537,0.013764,15.880178,66
538,0.014494,16.785359,74
539,0.013422,15.607006,66
540,0.013946,15.489259,66
541,0.013566,15.754994,67
542,0.014258,15.782103,67
543,0.013745,15.901570,66
544,0.013920,16.111344,67
545,0.016478,18.604246,81
546,0.015145,16.717052,66
547,0.014213,16.444844,66
548,0.015990,23.829727,95
549,0.014219,15.701978,70
550,0.013568,15.832353,66
