constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_73,52,West_exit_short,52,34,0.44,0
dl_74,3,,,,,
dl_74,56,West_exit,56,37,0.8,0
dl_74,52,West_exit_short,52,34,0.44,0
dl_74,50,East_exit,51,35,0.8,0
dl_74,59,West_exit,58,38,0.8,0
dl_74,58,West_exit,58,38,0.8,0
dl_75,3,,,,,
dl_75,56,West_exit,56,37,0.8,0
dl_75,52,West_exit_short,52,34,0.44,0
dl_75,50,East_exit,51,35,0.8,0
dl_75,57,West_exit,57,38,0.8,0
dl_75,59,West_exit,57,38,0.8,0
dl_76,3,,,,,
dl_76,56,West_exit,56,37,0.8,0
dl_76,52,West_exit_short,52,34,0.44,0
dl_76,50,East_exit,51,35,0.8,0
dl_76,59,West_exit,59,39,0.8,0
dl_77,3,,,,,
dl_77,56,West_exit,56,37,0.8,0
dl_77,52,West_exit_short,52,34,0.44,0
dl_77,50,East_exit,51,35,0.8,0
dl_77,62,West_exit,61,40,0.8,0
dl_77,61,West_exit,61,40,0.8,0
dl_78,3,,,,,
dl_78,56,West_exit,56,37,0.8,0
dl_78,52,West_exit_short,52,34,0.44,0
dl_78,50,East_exit,51,35,0.8,0
dl_78,60,West_exit,60,40,0.8,0
dl_78,62,West_exit,60,40,0.8,0
dl_79,3,,,,,
dl_79,56,West_exit,56,37,0.8,0
dl_79,52,West_exit_short,52,34,0.44,0
dl_79,50,East_exit,51,35,0.8,0
dl_79,62,West_exit,62,41,0.8,0
dl_80,2,,,,,
dl_80,52,West_exit_short,52,34,0.44,0
dl_80,50,East_exit,51,35,0.8,0
dl_80,56,West_exit,56,37,0.8,0
dl_81,3,,,,,
dl_81,59,West_exit,58,38,0.8,0
dl_81,52,West_exit_short,52,34,0.44,0
dl_81,50,East_exit,51,35,0.8,0
dl_81,62,West_exit,61,40,0.8,0
dl_81,61,West_exit,61,40,0.8,0
dl_81,58,West_exit,58,38,0.8,0
dl_82,3,,,,,
dl_82,59,West_exit,58,38,0.8,0
dl_82,52,West_exit_short,52,34,0.44,0
dl_82,50,East_exit,51,35,0.8,0
dl_82,60,West_exit,60,40,0.8,0
dl_82,62,West_exit,60,40,0.8,0
dl_82,58,West_exit,58,38,0.8,0
dl_83,3,,,,,
dl_83,59,West_exit,58,38,0.8,0
dl_83,58,West_exit,58,38,0.8,0
dl_83,52,West_exit_short,52,34,0.44,0
dl_83,50,East_exit,51,35,0.8,0
dl_83,62,West_exit,62,41,0.8,0
dl_84,2,,,,,
dl_84,52,West_exit_short,52,34,0.44,0
dl_84,50,East_exit,51,35,0.8,0
dl_84,59,West_exit,58,38,0.8,0
dl_84,58,West_exit,58,38,0.8,0
dl_85,3,,,,,
dl_85,59,West_exit,57,38,0.8,0
dl_85,52,West_exit_short,52,34,0.44,0
dl_85,50,East_exit,51,35,0.8,0
dl_85,62,West_exit,61,40,0.8,0
dl_85,61,West_exit,61,40,0.8,0
dl_85,57,West_exit,57,38,0.8,0
dl_86,3,,,,,
dl_86,59,West_exit,57,38,0.8,0
