path_id,waypt_x,waypt_y,line_id,warnings
(19-12),1260.0,0.0,,
(19-12),1245.0,15.0,,
(19-12),1175.0,15.0,,
(19-12),1160.0,0.0,,
(20-14),1260.0,0.0,,
(20-14),1360.0,0.0,,
(20-13),1360.0,0.0,,
(20-13),1260.0,0.0,,
(21-14),1460.0,0.0,,
(21-14),1360.0,0.0,,
(21-15),1360.0,0.0,,
(21-15),1460.0,0.0,,
(22-15),1360.0,0.0,,
(22-15),1375.0,15.0,,
(22-15),1445.0,15.0,,
(22-15),1460.0,0.0,,
(22-14),1460.0,0.0,,
(22-14),1445.0,15.0,,
(22-14),1375.0,15.0,,
(22-14),1360.0,0.0,,
(23-16),1460.0,0.0,,
(23-16),1560.0,0.0,,
(23-15),1560.0,0.0,,
(23-15),1460.0,0.0,,
(24-16),1660.0,0.0,,
(24-16),1560.0,0.0,,
(24-17),1560.0,0.0,,
(24-17),1660.0,0.0,,
(25-17),1560.0,0.0,,
(25-17),1575.0,15.0,,
(25-17),1645.0,15.0,,
(25-17),1660.0,0.0,,
(25-16),1660.0,0.0,,
(25-16),1645.0,15.0,,
(25-16),1575.0,15.0,,
(25-16),1560.0,0.0,,
(26-18),1660.0,0.0,,
(26-18),1760.0,0.0,,
(26-17),1760.0,0.0,,
(26-17),1660.0,0.0,,
(27-18),1860.0,0.0,,
(27-18),1760.0,0.0,,
(27-19),1760.0,0.0,,
(27-19),1860.0,0.0,,
(28-19),1760.0,0.0,,
(28-19),1775.0,15.0,,
(28-19),1845.0,15.0,,
(28-19),1860.0,0.0,,
(28-18),1860.0,0.0,,
(28-18),1845.0,15.0,,
(28-18),1775.0,15.0,,
(28-18),1760.0,0.0,,
(29-20),1860.0,0.0,,
(29-20),1960.0,0.0,,
(29-19),1960.0,0.0,,
(29-19),1860.0,0.0,,
(30-20),2060.0,0.0,,
(30-20),1960.0,0.0,,
(30-21),1960.0,0.0,,
(30-21),2060.0,0.0,,
(31-21),1960.0,0.0,,
(31-21),1975.0,15.0,,
(31-21),2045.0,15.0,,
(31-21),2060.0,0.0,,
(31-20),2060.0,0.0,,
(31-20),2045.0,15.0,,
(31-20),1975.0,15.0,,
(31-20),1960.0,0.0,,
(32-22),2060.0,0.0,,
(32-22),2160.0,0.0,,
(32-21),2160.0,0.0,,
(32-21),2060.0,0.0,,
(33-22),2220.0,0.0,,
(33-22),2160.0,0.0,,
(34-23),2160.0,0.0,,
(34-23),2220.0,0.0,,
(35-1),0.0,-15.0,,
(35-1),60.0,0.0,,
(36-24),60.0,0.0,,
(36-24),0.0,-15.0,,
(37-22),2220.0,-15.0,,
(37-22),2160.0,0.0,,
(38-25),2160.0,0.0,,
(38-25),2220.0,-15.0,,
