constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_27,22,Gowrie_exit,22,19,0.44,0
dl_28,4,,,,,
dl_28,26,Gowrie_exit,26,21,0.44,0
dl_28,25,exit_to_Brisbane,25,20,0.44,0
dl_28,24,Wyreema_exit,24,20,0.44,0
dl_28,35,Wyreema_exit,35,28,0.44,0
dl_28,189,exit_to_Brisbane,30,24,0.44,0
dl_29,7,,,,,
dl_29,26,Gowrie_exit,26,21,0.44,0
dl_29,25,exit_to_Brisbane,25,20,0.44,0
dl_29,35,Wyreema_exit,35,28,0.44,0
dl_29,189,exit_to_Brisbane,30,24,0.44,0
dl_29,23,exit_to_Brisbane,23,17,0.44,0
dl_29,22,Wyreema_exit,22,19,0.44,0
dl_29,21,Wyreema_exit,22,19,0.44,0
dl_29,20,Gowrie_exit,20,17,0.44,0
dl_30,7,,,,,
dl_30,24,exit_to_Brisbane,24,19,0.44,0
dl_30,20,Gowrie_exit,20,17,0.44,0
dl_30,22,Wyreema_exit,22,19,0.44,0
dl_30,26,Gowrie_exit,26,21,0.44,0
dl_30,25,exit_to_Brisbane,25,20,0.44,0
dl_30,35,Wyreema_exit,35,28,0.44,0
dl_30,189,exit_to_Brisbane,30,24,0.44,0
dl_30,21,Wyreema_exit,22,19,0.44,0
dl_31,9,,,,,
dl_31,26,Gowrie_exit,26,21,0.44,0
dl_31,25,exit_to_Brisbane,25,20,0.44,0
dl_31,35,Wyreema_exit,35,28,0.44,0
dl_31,189,exit_to_Brisbane,30,24,0.44,0
dl_31,23,exit_to_Brisbane,23,17,0.44,0
dl_31,22,Wyreema_exit,22,19,0.44,0
dl_31,21,Wyreema_exit,22,19,0.44,0
dl_31,19,exit_to_Brisbane,19,15,0.44,0
dl_31,18,Gowrie_exit,18,16,0.44,0
dl_31,17,Wyreema_exit,17,15,0.44,0
dl_32,9,,,,,
dl_32,24,exit_to_Brisbane,24,19,0.44,0
dl_32,19,exit_to_Brisbane,19,15,0.44,0
dl_32,18,Gowrie_exit,18,16,0.44,0
dl_32,17,Wyreema_exit,17,15,0.44,0
dl_32,22,Wyreema_exit,22,19,0.44,0
dl_32,26,Gowrie_exit,26,21,0.44,0
dl_32,25,exit_to_Brisbane,25,20,0.44,0
dl_32,35,Wyreema_exit,35,28,0.44,0
dl_32,189,exit_to_Brisbane,30,24,0.44,0
dl_32,21,Wyreema_exit,22,19,0.44,0
dl_33,2,,,,,
dl_33,20,exit_to_Brisbane,20,16,0.44,0
dl_33,19,Wyreema_exit,19,16,0.44,0
dl_33,18,Gowrie_exit,18,16,0.44,0
dl_34,9,,,,,
dl_34,24,exit_to_Brisbane,24,19,0.44,0
dl_34,23,exit_to_Brisbane,23,17,0.44,0
dl_34,22,Wyreema_exit,22,19,0.44,0
dl_34,20,exit_to_Brisbane,20,16,0.44,0
dl_34,17,Wyreema_exit,17,15,0.44,0
dl_34,18,Gowrie_exit,18,16,0.44,0
dl_34,21,Wyreema_exit,22,19,0.44,0
dl_34,27,exit_to_Brisbane,27,21,0.44,0
dl_34,26,Gowrie_exit,26,21,0.44,0
dl_34,25,exit_to_Brisbane,25,20,0.44,0
dl_35,9,,,,,
dl_35,24,exit_to_Brisbane,24,19,0.44,0
dl_35,23,exit_to_Brisbane,23,17,0.44,0
dl_35,22,Wyreema_exit,22,19,0.44,0
dl_35,20,exit_to_Brisbane,20,16,0.44,0
dl_35,17,Wyreema_exit,17,15,0.44,0
dl_35,18,Gowrie_exit,18,16,0.44,0
dl_35,21,Wyreema_exit,22,19,0.44,0
dl_35,35,exit_to_Brisbane,35,28,0.44,0
dl_35,26,Gowrie_exit,26,21,0.44,0
dl_35,25,exit_to_Brisbane,25,20,0.44,0
dl_36,9,,,,,
